,D01,D02,D03,D04,D05,D06,D07,S01,S02,S03,S04,S05,M01,M02,M03,M04,M05,M06,M07,O01
2023-08-18,0,0,0,0,0,1,0,1858.13,1955.42,3013.6899999999996,3158.0599999999995,2348.38,826.5,439.0,112.75,500.0,97.75,22.0,35.0,656.0399999999992
2023-08-17,0,0,0,0,1,0,0,1514.26,1857.9,1569.52,2237.75,2003.24,589.5,190.0,129.5,238.75,29.25,22.0,45.0,262.08000000000004
2023-08-16,0,0,0,1,0,0,0,1132.8400000000001,1930.3,4462.45,1516.03,1645.95,403.5,211.75,89.5,107.0,9.5,22.0,40.0,502.16
2023-08-15,0,0,1,0,0,0,0,1613.22,1619.9,1349.97,1431.3400000000001,1337.92,460.25,261.5,139.5,344.25,39.75,33.0,85.0,300.52000000000004
2023-08-14,0,1,0,0,0,0,0,643.0,1350.0,0,0,0,339.25,164.75,94.0,136.75,38.25,33.0,0.0,256.28000000000003
2023-08-12,0,0,0,0,0,0,1,4097.249999999999,3039.999999999999,3252.499999999999,3084.5699999999997,2900.08,1201.5,442.25,264.5,467.0,122.25,33.0,45.0,916.8799999999992
2023-08-11,0,0,0,0,0,1,0,1955.42,3013.6899999999996,3158.0599999999995,2348.38,4800.879999999999,842.5,178.0,92.0,209.75,22.0,22.0,20.0,471.88000000000005
2023-08-10,0,0,0,0,1,0,0,1857.9,1569.52,2237.75,2003.24,1731.01,615.5,149.5,31.0,163.0,53.5,0.0,20.0,481.76000000000005
2023-08-09,0,0,0,1,0,0,0,1930.3,4462.45,1516.03,1645.95,1216.66,353.0,155.5,57.5,174.5,57.5,33.0,25.0,276.84000000000003
2023-08-08,0,0,1,0,0,0,0,1619.9,1349.97,1431.3400000000001,1337.92,3053.879999999999,518.75,208.0,80.25,217.75,42.75,11.0,30.0,504.72
2023-08-07,0,1,0,0,0,0,0,1350.0,0,0,0,0,224.0,250.0,0.0,0.0,44.0,0.0,0.0,125.0
2023-08-05,0,0,0,0,0,0,1,3039.999999999999,3252.499999999999,3084.5699999999997,2900.08,4278.949999999999,1399.75,839.25,0.0,646.5,166.75,11.0,10.0,1023.9999999999993
2023-08-04,0,0,0,0,0,1,0,3013.6899999999996,3158.0599999999995,2348.38,4800.879999999999,3500.909999999999,571.75,303.5,82.25,369.0,87.0,0.0,85.0,456.92
2023-08-03,0,0,0,0,1,0,0,1569.52,2237.75,2003.24,1731.01,2105.2599999999998,611.25,306.0,129.75,158.25,92.25,0.0,10.0,550.4000000000001
2023-08-02,0,0,0,1,0,0,0,4462.45,1516.03,1645.95,1216.66,1578.29,637.25,331.75,65.25,234.25,40.0,66.0,30.0,525.8
2023-08-01,0,0,1,0,0,0,0,1349.97,1431.3400000000001,1337.92,3053.879999999999,1704.1,620.5,225.25,141.75,234.0,76.0,0.0,35.0,287.40000000000003
2023-07-31,0,1,0,0,0,0,0,0,0,0,0,0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-29,0,0,0,0,0,0,1,3252.499999999999,3084.5699999999997,2900.08,4278.949999999999,3494.8699999999994,943.75,589.25,212.25,339.75,131.0,0.0,30.0,793.9999999999993
2023-07-28,0,0,0,0,0,1,0,3158.0599999999995,2348.38,4800.879999999999,3500.909999999999,2599.539999999999,855.75,517.5,212.5,596.25,103.25,0.0,25.0,703.4399999999997
2023-07-27,0,0,0,0,1,0,0,2237.75,2003.24,1731.01,2105.2599999999998,1634.16,477.75,286.5,45.5,267.5,72.75,11.0,5.0,403.52000000000004
2023-07-26,0,0,0,1,0,0,0,1516.03,1645.95,1216.66,1578.29,1353.03,312.75,283.5,76.75,104.5,20.75,0.0,10.0,3654.2
2023-07-25,0,0,1,0,0,0,0,1431.3400000000001,1337.92,3053.879999999999,1704.1,1538.98,465.5,223.5,65.25,224.0,22.0,0.0,15.0,334.72
2023-07-22,0,0,0,0,0,0,1,3084.5699999999997,2900.08,4278.949999999999,3494.8699999999994,4026.49,988.5,492.0,125.75,425.75,169.5,22.0,20.0,1008.9999999999993
2023-07-21,0,0,0,0,0,1,0,2348.38,4800.879999999999,3500.909999999999,2599.539999999999,3500.77,1117.5,477.5,113.0,469.25,106.25,0.0,25.0,849.5599999999997
2023-07-20,0,0,0,0,1,0,0,2003.24,1731.01,2105.2599999999998,1634.16,2000.9,718.25,331.25,94.75,284.75,138.75,70.0,25.0,574.9999999999998
2023-07-19,0,0,0,1,0,0,0,1645.95,1216.66,1578.29,1353.03,1712.52,550.25,202.75,107.0,146.5,63.25,0.0,5.0,441.28000000000003
2023-07-18,0,0,1,0,0,0,0,1337.92,3053.879999999999,1704.1,1538.98,3584.009999999999,456.0,251.75,60.25,232.25,49.25,0.0,20.0,361.84000000000003
2023-07-15,0,0,0,0,0,0,1,2900.08,4278.949999999999,3494.8699999999994,4026.49,3420.39,905.0,494.0,132.75,678.5,126.0,0.0,45.0,703.3199999999995
2023-07-14,0,0,0,0,0,1,0,4800.879999999999,3500.909999999999,2599.539999999999,3500.77,3078.079999999999,874.25,361.75,111.5,286.5,71.5,0.0,15.0,627.8799999999999
2023-07-13,0,0,0,0,1,0,0,1731.01,2105.2599999999998,1634.16,2000.9,1880.51,699.25,271.0,186.0,226.75,148.0,0.0,15.0,457.24000000000007
2023-07-12,0,0,0,1,0,0,0,1216.66,1578.29,1353.03,1712.52,1682.76,634.5,194.75,126.75,128.5,41.25,0.0,20.0,500.20000000000005
2023-07-11,0,0,1,0,0,0,0,3053.879999999999,1704.1,1538.98,3584.009999999999,1383.71,481.5,212.75,77.25,151.75,20.75,0.0,25.0,368.92
2023-07-08,0,0,0,0,0,0,1,4278.949999999999,3494.8699999999994,4026.49,3420.39,3968.6199999999994,890.25,493.5,153.25,465.0,59.0,0.0,20.0,819.0799999999997
2023-07-07,0,0,0,0,0,1,0,3500.909999999999,2599.539999999999,3500.77,3078.079999999999,2829.3399999999992,1483.25,911.25,47.5,319.25,134.75,0.0,15.0,1889.8799999999987
2023-07-06,0,0,0,0,1,0,0,2105.2599999999998,1634.16,2000.9,1880.51,5571.509999999998,574.5,282.75,126.25,276.25,63.5,0.0,20.0,387.76000000000005
2023-07-05,0,0,0,1,0,0,0,1578.29,1353.03,1712.52,1682.76,439.53000000000003,440.25,80.5,72.0,167.5,19.25,0.0,15.0,422.16
2023-07-04,0,0,1,0,0,0,0,1704.1,1538.98,3584.009999999999,1383.71,1207.21,868.75,438.75,74.25,548.75,41.5,0.0,65.0,1016.8799999999993
2023-07-01,0,0,0,0,0,0,1,3494.8699999999994,4026.49,3420.39,3968.6199999999994,4222.039999999999,1582.25,810.0,65.75,557.75,132.0,0.0,35.0,1096.1999999999987
2023-06-30,0,0,0,0,0,1,0,2599.539999999999,3500.77,3078.079999999999,2829.3399999999992,2728.6899999999996,1218.0,526.0,133.75,526.5,147.5,0.0,30.0,919.159999999999
2023-06-29,0,0,0,0,1,0,0,1634.16,2000.9,1880.51,5571.509999999998,2032.52,848.75,282.5,113.5,165.75,116.0,0.0,15.0,563.7599999999999
2023-06-28,0,0,0,1,0,0,0,1353.03,1712.52,1682.76,439.53000000000003,2336.12,435.75,216.0,107.75,249.25,20.5,0.0,50.0,499.04
2023-06-27,0,0,1,0,0,0,0,1538.98,3584.009999999999,1383.71,1207.21,2288.08,484.5,167.5,43.0,149.5,38.0,0.0,25.0,796.5999999999998
2023-06-24,0,0,0,0,0,0,1,4026.49,3420.39,3968.6199999999994,4222.039999999999,4215.189999999999,1086.75,617.25,218.75,514.25,92.75,0.0,50.0,915.1199999999995
2023-06-23,0,0,0,0,0,1,0,3500.77,3078.079999999999,2829.3399999999992,2728.6899999999996,3773.7799999999993,789.5,539.75,96.5,245.25,52.5,0.0,40.0,836.039999999999
2023-06-22,0,0,0,0,1,0,0,2000.9,1880.51,5571.509999999998,2032.52,1929.64,456.5,313.0,63.0,192.75,49.75,0.0,20.0,539.1600000000001
2023-06-21,0,0,0,1,0,0,0,1712.52,1682.76,439.53000000000003,2336.12,1913.78,394.75,211.0,68.25,202.75,59.0,0.0,0.0,417.28000000000003
2023-06-20,0,0,1,0,0,0,0,3584.009999999999,1383.71,1207.21,2288.08,2492.64,449.0,299.0,65.0,128.75,28.75,0.0,10.0,558.48
2023-06-19,0,1,0,0,0,0,0,0,3000.0,0,0,0,312.0,126.0,90.0,0.0,0.0,0.0,0.0,186.0
2023-06-18,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
2023-06-17,0,0,0,0,0,0,1,3420.39,3968.6199999999994,4222.039999999999,4215.189999999999,5643.549999999999,1341.0,696.5,125.0,720.0,153.75,0.0,20.0,970.24
2023-06-16,0,0,0,0,0,1,0,3078.079999999999,2829.3399999999992,2728.6899999999996,3773.7799999999993,4033.079999999998,987.0,795.25,96.5,661.5,111.0,0.0,15.0,834.52
2023-06-15,0,0,0,0,1,0,0,1880.51,5571.509999999998,2032.52,1929.64,1892.94,639.25,402.75,62.75,309.5,59.25,0.0,10.0,517.4000000000001
2023-06-14,0,0,0,1,0,0,0,1682.76,439.53000000000003,2336.12,1913.78,1896.83,504.75,241.25,86.25,259.0,50.75,0.0,15.0,555.5199999999999
2023-06-13,0,0,1,0,0,0,0,1383.71,1207.21,2288.08,2492.64,1741.77,462.25,928.25,329.25,206.75,20.75,0.0,5.0,1631.7599999999989
2023-06-10,0,0,0,0,0,0,1,3968.6199999999994,4222.039999999999,4215.189999999999,5643.549999999999,3397.779999999999,1083.75,432.0,214.0,629.0,111.0,0.0,30.0,920.6399999999999
2023-06-09,0,0,0,0,0,1,0,2829.3399999999992,2728.6899999999996,3773.7799999999993,4033.079999999998,2673.3999999999996,1021.0,568.0,106.0,354.25,137.75,0.0,5.0,886.079999999999
2023-06-08,0,0,0,0,1,0,0,5571.509999999998,2032.52,1929.64,1892.94,1981.4399999999998,664.0,296.0,59.75,328.5,31.5,0.0,20.0,480.76000000000005
2023-06-07,0,0,0,1,0,0,0,439.53000000000003,2336.12,1913.78,1896.83,2270.99,617.0,287.0,63.0,150.0,33.0,0.0,50.0,482.76000000000005
2023-06-06,0,0,1,0,0,0,0,1207.21,2288.08,2492.64,1741.77,2292.6499999999996,433.75,243.75,77.25,158.5,77.5,0.0,30.0,362.96000000000004
2023-06-05,0,1,0,0,0,0,0,0,0,0,3000.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
